YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2017,2017,AK,Alaska,BRFSS,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,2017.0,Value,34.5,34.5,,,31.5,37.7,2136.0,,,,,,Non-Hispanic White,"(64.845079957001, -147.722059036)",FV,FV1,Q018,VALUE,2,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2017,2017,AK,Alaska,BRFSS,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,2017.0,Value,38.4,38.4,,,29.3,48.5,327.0,,,,,"$15,000 - $24,999",,"(64.845079957001, -147.722059036)",FV,FV1,Q018,VALUE,2,Income,"$15,000 - $24,999",INC,INC1525
2017,2017,AK,Alaska,BRFSS,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,2017.0,Value,36.9,36.9,,,34.0,39.9,2959.0,Total,,,,,,"(64.845079957001, -147.722059036)",FV,FV1,Q018,VALUE,2,Total,Total,OVR,OVERALL
2017,2017,AK,Alaska,BRFSS,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,2017.0,Value,30.3,30.3,,,24.2,37.3,320.0,,25 - 34,,,,,"(64.845079957001, -147.722059036)",FV,FV1,Q018,VALUE,2,Age (years),25 - 34,AGEYR,AGEYR2534
2017,2017,AK,Alaska,BRFSS,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,2017.0,Value,43.4,43.4,,,29.6,58.4,125.0,,,,,,2 or more races,"(64.845079957001, -147.722059036)",FV,FV1,Q018,VALUE,2,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2017,2017,AK,Alaska,BRFSS,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,2017.0,Value,34.9,34.9,,,30.1,40.0,860.0,,65 or older,,,,,"(64.845079957001, -147.722059036)",FV,FV1,Q018,VALUE,2,Age (years),65 or older,AGEYR,AGEYR65PLUS
2017,2017,AK,Alaska,BRFSS,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,2017.0,Value,59.5,59.5,,,50.6,67.7,450.0,,,,,,American Indian/Alaska Native,"(64.845079957001, -147.722059036)",FV,FV1,Q018,VALUE,2,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2017,2017,AK,Alaska,BRFSS,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,2017.0,Value,45.8,45.8,,,35.6,56.3,265.0,,,,,Data not reported,,"(64.845079957001, -147.722059036)",FV,FV1,Q018,VALUE,2,Income,Data not reported,INC,INCNR
2017,2017,AK,Alaska,BRFSS,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,2017.0,Value,54.0,54.0,,,41.6,66.0,173.0,,,Less than high school,,,,"(64.845079957001, -147.722059036)",FV,FV1,Q018,VALUE,2,Education,Less than high school,EDU,EDUHS
2017,2017,AK,Alaska,BRFSS,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,2017.0,Value,43.6,43.6,,,39.4,48.0,1415.0,,,,Male,,,"(64.845079957001, -147.722059036)",FV,FV1,Q018,VALUE,2,Gender,Male,GEN,MALE
