YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,25.8,25.8,22.3,29.6,954.0,,,Some college or technical school,,,,OWS,OWS1,Q036,VALUE,2,Education,Some college or technical school,EDU,EDUCOTEC
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,28.8,28.8,21.4,37.6,245.0,,,Less than high school,,,,OWS,OWS1,Q036,VALUE,2,Education,Less than high school,EDU,EDUHS
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,33.1,33.1,28.8,37.7,981.0,,,High school graduate,,,,OWS,OWS1,Q036,VALUE,2,Education,High school graduate,EDU,EDUHSGRAD
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,22.1,22.1,19.1,25.5,1150.0,,,College graduate,,,,OWS,OWS1,Q036,VALUE,2,Education,College graduate,EDU,EDUCOGRAD
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,32.8,32.8,30.2,35.6,2402.0,,,High school graduate,,,,OWS,OWS1,Q036,VALUE,1,Education,High school graduate,EDU,EDUHSGRAD
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,33.6,33.6,29.9,37.6,1153.0,,,Less than high school,,,,OWS,OWS1,Q036,VALUE,1,Education,Less than high school,EDU,EDUHS
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,33.8,33.8,31.0,36.8,1925.0,,,Some college or technical school,,,,OWS,OWS1,Q036,VALUE,1,Education,Some college or technical school,EDU,EDUCOTEC
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,26.4,26.4,23.7,29.3,1812.0,,,College graduate,,,,OWS,OWS1,Q036,VALUE,1,Education,College graduate,EDU,EDUCOGRAD
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,33.0,33.0,29.5,36.8,1645.0,,,High school graduate,,,,OWS,OWS1,Q036,VALUE,5,Education,High school graduate,EDU,EDUHSGRAD
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,26.4,26.4,22.9,30.2,1175.0,,,College graduate,,,,OWS,OWS1,Q036,VALUE,5,Education,College graduate,EDU,EDUCOGRAD
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,31.1,31.1,26.0,36.8,628.0,,,Less than high school,,,,OWS,OWS1,Q036,VALUE,5,Education,Less than high school,EDU,EDUHS
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,31.0,31.0,27.0,35.3,1070.0,,,Some college or technical school,,,,OWS,OWS1,Q036,VALUE,5,Education,Some college or technical school,EDU,EDUCOTEC
2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,25.2,25.2,21.5,29.3,1655.0,,,High school graduate,,,,OWS,OWS1,Q036,VALUE,4,Education,High school graduate,EDU,EDUHSGRAD
2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,17.4,17.4,15.0,20.1,2050.0,,,College graduate,,,,OWS,OWS1,Q036,VALUE,4,Education,College graduate,EDU,EDUCOGRAD
