YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,22.7,22.7,17.5,28.8,434.0,,,,,Data not reported,,OWS,OWS1,Q036,VALUE,2,Income,Data not reported,INC,INCNR
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,30.2,30.2,24.1,37.2,377.0,,,,,"$15,000 - $24,999",,OWS,OWS1,Q036,VALUE,2,Income,"$15,000 - $24,999",INC,INC1525
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,32.2,32.2,23.1,42.9,224.0,,,,,"$25,000 - $34,999",,OWS,OWS1,Q036,VALUE,2,Income,"$25,000 - $34,999",INC,INC2535
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,33.6,33.6,25.4,42.9,271.0,,,,,"Less than $15,000",,OWS,OWS1,Q036,VALUE,2,Income,"Less than $15,000",INC,INCLESS15
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,27.8,27.8,23.3,32.9,524.0,,,,,"$50,000 - $74,999",,OWS,OWS1,Q036,VALUE,2,Income,"$50,000 - $74,999",INC,INC5075
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,24.5,24.5,18.3,32.0,397.0,,,,,"$35,000 - $49,999",,OWS,OWS1,Q036,VALUE,2,Income,"$35,000 - $49,999",INC,INC3550
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,26.9,26.9,23.5,30.7,1109.0,,,,,"$75,000 or greater",,OWS,OWS1,Q036,VALUE,2,Income,"$75,000 or greater",INC,INC75PLUS
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,35.8,35.8,31.1,40.8,757.0,,,,,"$25,000 - $34,999",,OWS,OWS1,Q036,VALUE,1,Income,"$25,000 - $34,999",INC,INC2535
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,34.1,34.1,29.7,38.8,785.0,,,,,"$50,000 - $74,999",,OWS,OWS1,Q036,VALUE,1,Income,"$50,000 - $74,999",INC,INC5075
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,34.8,34.8,31.3,38.5,1367.0,,,,,"$15,000 - $24,999",,OWS,OWS1,Q036,VALUE,1,Income,"$15,000 - $24,999",INC,INC1525
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,23.8,23.8,20.7,27.3,1297.0,,,,,Data not reported,,OWS,OWS1,Q036,VALUE,1,Income,Data not reported,INC,INCNR
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,38.5,38.5,34.4,42.8,1112.0,,,,,"Less than $15,000",,OWS,OWS1,Q036,VALUE,1,Income,"Less than $15,000",INC,INCLESS15
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,28.8,28.8,25.4,32.5,1125.0,,,,,"$75,000 or greater",,OWS,OWS1,Q036,VALUE,1,Income,"$75,000 or greater",INC,INC75PLUS
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,32.3,32.3,28.0,36.8,861.0,,,,,"$35,000 - $49,999",,OWS,OWS1,Q036,VALUE,1,Income,"$35,000 - $49,999",INC,INC3550
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,27.8,27.8,23.3,32.7,718.0,,,,,"$75,000 or greater",,OWS,OWS1,Q036,VALUE,5,Income,"$75,000 or greater",INC,INC75PLUS
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,30.6,30.6,25.2,36.7,528.0,,,,,"$50,000 - $74,999",,OWS,OWS1,Q036,VALUE,5,Income,"$50,000 - $74,999",INC,INC5075
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,24.9,24.9,19.9,30.7,632.0,,,,,Data not reported,,OWS,OWS1,Q036,VALUE,5,Income,Data not reported,INC,INCNR
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,37.2,37.2,30.8,44.1,524.0,,,,,"$25,000 - $34,999",,OWS,OWS1,Q036,VALUE,5,Income,"$25,000 - $34,999",INC,INC2535
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,33.8,33.8,28.3,39.7,701.0,,,,,"Less than $15,000",,OWS,OWS1,Q036,VALUE,5,Income,"Less than $15,000",INC,INCLESS15
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,30.4,30.4,25.7,35.6,860.0,,,,,"$15,000 - $24,999",,OWS,OWS1,Q036,VALUE,5,Income,"$15,000 - $24,999",INC,INC1525
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,31.7,31.7,26.1,37.9,564.0,,,,,"$35,000 - $49,999",,OWS,OWS1,Q036,VALUE,5,Income,"$35,000 - $49,999",INC,INC3550
2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,25.1,25.1,20.2,30.7,830.0,,,,,"$50,000 - $74,999",,OWS,OWS1,Q036,VALUE,4,Income,"$50,000 - $74,999",INC,INC5075
2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,20.7,20.7,16.4,25.8,834.0,,,,,"$35,000 - $49,999",,OWS,OWS1,Q036,VALUE,4,Income,"$35,000 - $49,999",INC,INC3550
2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,26.5,26.5,19.9,34.3,654.0,,,,,"$25,000 - $34,999",,OWS,OWS1,Q036,VALUE,4,Income,"$25,000 - $34,999",INC,INC2535
2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,34.1,34.1,26.1,43.1,760.0,,,,,"Less than $15,000",,OWS,OWS1,Q036,VALUE,4,Income,"Less than $15,000",INC,INCLESS15
2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,19.6,19.6,15.4,24.7,836.0,,,,,Data not reported,,OWS,OWS1,Q036,VALUE,4,Income,Data not reported,INC,INCNR
