YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,23.3,23.3,16.1,32.4,128.0,,,,,,2 or more races,OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,35.5,35.5,22.7,50.9,63.0,,,,,,Other,OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,Other,RACE,RACEOTH
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,31.5,31.5,20.4,45.1,84.0,,,,,,Hispanic,OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,Hispanic,RACE,RACEHIS
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,30.9,30.9,25.7,36.6,477.0,,,,,,American Indian/Alaska Native,OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,25.9,25.9,23.6,28.2,2425.0,,,,,,Non-Hispanic White,OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,27.8,27.8,14.4,46.9,58.0,,,,,,2 or more races,OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,29.8,29.8,28.0,31.6,5042.0,,,,,,Non-Hispanic White,OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,32.9,32.9,18.4,51.7,61.0,,,,,,American Indian/Alaska Native,OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,28.6,28.6,17.5,43.1,115.0,,,,,,Hispanic,OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,Hispanic,RACE,RACEHIS
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,40.1,40.1,36.9,43.3,1878.0,,,,,,Non-Hispanic Black,OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,26.4,26.4,14.2,43.8,80.0,,,,,,2 or more races,OWS,OWS1,Q036,VALUE,5,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,19.3,19.3,10.3,33.3,58.0,,,,,,American Indian/Alaska Native,OWS,OWS1,Q036,VALUE,5,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,18.4,18.4,11.3,28.7,126.0,,,,,,Hispanic,OWS,OWS1,Q036,VALUE,5,Race/Ethnicity,Hispanic,RACE,RACEHIS
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,38.1,38.1,31.4,45.3,592.0,,,,,,Non-Hispanic Black,OWS,OWS1,Q036,VALUE,5,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,31.0,31.0,28.7,33.4,3563.0,,,,,,Non-Hispanic White,OWS,OWS1,Q036,VALUE,5,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,33.8,33.8,28.3,39.7,996.0,,,,,,Hispanic,OWS,OWS1,Q036,VALUE,4,Race/Ethnicity,Hispanic,RACE,RACEHIS
2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,26.8,26.8,16.6,40.3,103.0,,,,,,Non-Hispanic Black,OWS,OWS1,Q036,VALUE,4,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,34.2,34.2,25.1,44.7,270.0,,,,,,American Indian/Alaska Native,OWS,OWS1,Q036,VALUE,4,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,13.0,13.0,5.3,28.6,64.0,,,,,,Asian,OWS,OWS1,Q036,VALUE,4,Race/Ethnicity,Asian,RACE,RACEASN
2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,20.8,20.8,10.4,37.3,82.0,,,,,,2 or more races,OWS,OWS1,Q036,VALUE,4,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
